University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
Allegheny College,Meadville,PA,73.0%,8.0%,7.0%,4.0%,2.0%,2.0%,3.0%,,
Indiana University Bloomington,Bloomington,IN,70.0%,6.0%,4.0%,4.0%,5.0%,,11.0%,,
Indiana University-Purdue University Indianapolis,Indianapolis,IN,71.0%,7.0%,10.0%,4.0%,4.0%,,4.0%,,
Itawamba Community College,Fulton,MS,71.0%,2.0%,25.0%,,,1.0%,,,
Ivy Tech Community College: Kokomo,Kokomo,IN,82.0%,5.0%,7.0%,3.0%,1.0%,2.0%,,,
Business Institute of Pennsylvania: Meadville,Meadville,PA,96.0%,,3.0%,,,,,1.0%,
Ivy Tech Community College: Southeast,Madison,IN,92.0%,,1.0%,2.0%,,4.0%,,,
University of Southern Indiana,Evansville,IN,87.0%,3.0%,4.0%,2.0%,1.0%,,2.0%,,
Indiana University Kokomo,Kokomo,IN,84.0%,5.0%,4.0%,3.0%,,2.0%,,,
Jackson State Community College,Jackson,TN,74.0%,2.0%,20.0%,2.0%,,2.0%,,,
Kent State University: Stark,Canton,OH,82.0%,2.0%,7.0%,4.0%,,3.0%,,,
Kalamazoo College,Kalamazoo,MI,59.0%,10.0%,6.0%,5.0%,7.0%,5.0%,8.0%,,
Kent State University,Kent,OH,75.0%,3.0%,9.0%,4.0%,2.0%,3.0%,5.0%,,
Kentucky State University,Frankfort,KY,29.0%,2.0%,57.0%,3.0%,,7.0%,,,
Trinidad State Junior College,Trinidad,CO,44.0%,41.0%,4.0%,2.0%,1.0%,5.0%,,1.0%,
"Penn State Fayette, The Eberly Campus",Lemont Furnace,PA,86.0%,3.0%,4.0%,4.0%,,,1.0%,,
Hamilton College,Clinton,NY,64.0%,8.0%,4.0%,3.0%,7.0%,7.0%,7.0%,,
Hartwick College,Oneonta,NY,65.0%,8.0%,9.0%,2.0%,2.0%,11.0%,3.0%,,
Haverford College,Haverford,PA,59.0%,8.0%,7.0%,4.0%,10.0%,2.0%,9.0%,,
Hudson County Community College,Jersey City,NJ,12.0%,57.0%,13.0%,2.0%,7.0%,8.0%,,,
Penn State Altoona,Altoona,PA,75.0%,6.0%,7.0%,3.0%,3.0%,,5.0%,,
Hobart and William Smith Colleges,Geneva,NY,73.0%,5.0%,6.0%,,4.0%,6.0%,6.0%,,
Hofstra University,Hempstead,NY,56.0%,14.0%,8.0%,2.0%,10.0%,3.0%,5.0%,,
University of Nevada: Reno,Reno,NV,59.0%,20.0%,3.0%,6.0%,7.0%,1.0%,,,
University of New Mexico,Albuquerque,NM,36.0%,47.0%,2.0%,3.0%,3.0%,,1.0%,6.0%,
University of Oregon,Eugene,OR,59.0%,11.0%,2.0%,7.0%,6.0%,1.0%,13.0%,,
University of Portland,Portland,OR,58.0%,12.0%,1.0%,9.0%,12.0%,3.0%,3.0%,,2.0%
University of Redlands,Redlands,CA,47.0%,28.0%,4.0%,5.0%,6.0%,7.0%,2.0%,,
University of San Diego,San Diego,CA,52.0%,19.0%,3.0%,6.0%,7.0%,3.0%,8.0%,,
Multnomah University,Portland,OR,76.0%,8.0%,3.0%,8.0%,1.0%,1.0%,,,
Maharishi University of Management,Fairfield,IA,40.0%,8.0%,7.0%,3.0%,3.0%,,38.0%,,
New Mexico State University,Las Cruces,NM,28.0%,56.0%,3.0%,2.0%,1.0%,2.0%,5.0%,2.0%,
New Mexico Highlands University,Las Vegas,NM,20.0%,58.0%,5.0%,2.0%,,,5.0%,9.0%,
New Mexico Institute of Mining and Technology,Socorro,NM,51.0%,31.0%,2.0%,5.0%,3.0%,2.0%,3.0%,3.0%,
New Mexico Military Institute,Roswell,NM,33.0%,25.0%,24.0%,3.0%,5.0%,,,4.0%,6.0%
Western New Mexico University,Silver City,NM,29.0%,51.0%,7.0%,,2.0%,6.0%,2.0%,3.0%,
Sheridan College,Sheridan,WY,87.0%,5.0%,1.0%,4.0%,,,,2.0%,
Northeastern Junior College,Sterling,CO,69.0%,13.0%,6.0%,3.0%,,5.0%,2.0%,,
Northwest College,Powell,WY,82.0%,8.0%,,3.0%,,,6.0%,,
Northwest Christian University,Eugene,OR,75.0%,7.0%,5.0%,3.0%,3.0%,2.0%,,4.0%,1.0%
North Seattle College,Seattle,WA,48.0%,7.0%,10.0%,3.0%,13.0%,16.0%,,1.0%,
Assumption College for Sisters,Denville,NJ,29.0%,3.0%,,,18.0%,,50.0%,,
Cayuga Community College,Auburn,NY,85.0%,4.0%,7.0%,3.0%,,,,,
College of the Atlantic,Bar Harbor,ME,67.0%,5.0%,,2.0%,3.0%,2.0%,21.0%,,
Central Maine Community College,Auburn,ME,82.0%,2.0%,6.0%,2.0%,,5.0%,,,
Boise Bible College,Boise,ID,90.0%,4.0%,2.0%,2.0%,,2.0%,,,
Midstate College,Peoria,IL,71.0%,2.0%,22.0%,3.0%,,,,,
Shelton State Community College,Tuscaloosa,AL,57.0%,,35.0%,2.0%,1.0%,4.0%,,,
Naropa University,Boulder,CO,64.0%,9.0%,1.0%,8.0%,2.0%,12.0%,3.0%,,
Western Connecticut State University,Danbury,CT,60.0%,18.0%,11.0%,3.0%,4.0%,3.0%,,,
Dartmouth College,Hanover,NH,50.0%,9.0%,7.0%,5.0%,15.0%,3.0%,8.0%,2.0%,
Dean College,Franklin,MA,50.0%,8.0%,15.0%,5.0%,,14.0%,6.0%,,
Eastern Nazarene College,Quincy,MA,52.0%,12.0%,24.0%,4.0%,2.0%,2.0%,3.0%,,
Emerson College,Boston,MA,67.0%,11.0%,3.0%,4.0%,4.0%,2.0%,8.0%,,
Emmanuel College,Boston,MA,71.0%,10.0%,5.0%,3.0%,4.0%,4.0%,2.0%,,
Endicott College,Beverly,MA,82.0%,5.0%,3.0%,1.0%,1.0%,6.0%,2.0%,,
Raritan Valley Community College,Branchburg,NJ,50.0%,21.0%,12.0%,2.0%,5.0%,7.0%,2.0%,,
SUNY College at Purchase,Purchase,NY,53.0%,19.0%,11.0%,5.0%,4.0%,6.0%,2.0%,,
Schenectady County Community College,Schenectady,NY,60.0%,8.0%,19.0%,3.0%,5.0%,3.0%,,1.0%,
Ramapo College of New Jersey,Mahwah,NJ,64.0%,14.0%,5.0%,,7.0%,6.0%,2.0%,,
Kentucky Wesleyan College,Owensboro,KY,74.0%,1.0%,15.0%,,,9.0%,,,
Kenyon College,Gambier,OH,73.0%,5.0%,3.0%,8.0%,4.0%,3.0%,5.0%,,
King University,Bristol,TN,81.0%,2.0%,6.0%,1.0%,,6.0%,3.0%,,
Knox College,Galesburg,IL,49.0%,15.0%,8.0%,5.0%,6.0%,3.0%,14.0%,,
University of San Francisco,San Francisco,CA,26.0%,21.0%,3.0%,7.0%,22.0%,2.0%,18.0%,,
Santa Clara University,Santa Clara,CA,49.0%,17.0%,3.0%,7.0%,17.0%,3.0%,4.0%,,
University of Southern California,Los Angeles,CA,40.0%,14.0%,4.0%,5.0%,22.0%,1.0%,13.0%,,
University of Utah,Salt Lake City,UT,70.0%,12.0%,1.0%,5.0%,6.0%,,5.0%,,
Ringling College of Art and Design,Sarasota,FL,47.0%,16.0%,3.0%,3.0%,8.0%,6.0%,16.0%,,
Richard Bland College,South Prince George,VA,37.0%,2.0%,48.0%,5.0%,1.0%,5.0%,1.0%,,
Savannah College of Art and Design,Savannah,GA,52.0%,8.0%,11.0%,,8.0%,4.0%,16.0%,,
Sweet Briar College,Sweet Briar,VA,71.0%,9.0%,9.0%,5.0%,3.0%,,,2.0%,
Saint Leo University,Saint Leo,FL,43.0%,19.0%,14.0%,2.0%,2.0%,7.0%,12.0%,,
Saint Johns River State College,Palatka,FL,70.0%,9.0%,11.0%,4.0%,2.0%,3.0%,,,
Stanly Community College,Albemarle,NC,67.0%,3.0%,18.0%,2.0%,2.0%,6.0%,1.0%,,
Surry Community College,Dobson,NC,79.0%,11.0%,3.0%,2.0%,,3.0%,,,
Southwest Virginia Community College,Richlands,VA,95.0%,,1.0%,1.0%,,,,,
Loyola University Maryland,Baltimore,MD,77.0%,10.0%,5.0%,3.0%,4.0%,,,,
National University,La Jolla,CA,37.0%,28.0%,10.0%,5.0%,10.0%,7.0%,,,2.0%
Spencerian College,Louisville,KY,56.0%,2.0%,19.0%,12.0%,1.0%,9.0%,,,
Simpson University,Redding,CA,59.0%,16.0%,4.0%,3.0%,4.0%,9.0%,1.0%,3.0%,
Northwestern Technical College,Rock Spring,GA,92.0%,2.0%,5.0%,,,,,,
Eastern Wyoming College,Torrington,WY,81.0%,7.0%,,,,7.0%,2.0%,1.0%,
Stanford University,Stanford,CA,36.0%,16.0%,6.0%,10.0%,21.0%,,9.0%,1.0%,
Washington State University,Pullman,WA,61.0%,14.0%,3.0%,7.0%,6.0%,2.0%,5.0%,,
Cochran School of Nursing,Yonkers,NY,39.0%,28.0%,22.0%,3.0%,7.0%,,,,
SUNY Polytechnic Institute,Utica,NY,77.0%,8.0%,5.0%,3.0%,5.0%,,1.0%,,
Ivy Tech Community College: Bloomington,Bloomington,IN,77.0%,1.0%,4.0%,2.0%,2.0%,12.0%,,,
Excelsior College,Albany,NY,59.0%,10.0%,21.0%,3.0%,3.0%,2.0%,,,
Boricua College,New York,NY,1.0%,79.0%,18.0%,,,3.0%,,,
Touro College,New York,NY,63.0%,9.0%,16.0%,,4.0%,5.0%,4.0%,,
Arcadia University,Glenside,PA,67.0%,9.0%,9.0%,4.0%,5.0%,3.0%,4.0%,,
Bloomfield College,Bloomfield,NJ,10.0%,26.0%,50.0%,,3.0%,4.0%,4.0%,,
City University of New York: Brooklyn College,Brooklyn,NY,31.0%,23.0%,21.0%,2.0%,19.0%,,3.0%,,
Broome Community College,Binghamton,NY,66.0%,1.0%,15.0%,,4.0%,14.0%,,,
Bryn Mawr College,Bryn Mawr,PA,36.0%,9.0%,6.0%,6.0%,12.0%,8.0%,23.0%,,
Bucknell University,Lewisburg,PA,75.0%,6.0%,3.0%,4.0%,5.0%,,6.0%,,
"Hussian College, School of Art",Philadelphia,PA,70.0%,13.0%,11.0%,,6.0%,,,,
Chandler-Gilbert Community College:  Williams Campus,Mesa,AZ,60.0%,18.0%,5.0%,1.0%,4.0%,9.0%,,2.0%,
Lynchburg College,Lynchburg,VA,73.0%,5.0%,12.0%,5.0%,1.0%,2.0%,3.0%,,
Lake-Sumter State College,Leesburg,FL,65.0%,10.0%,10.0%,2.0%,3.0%,7.0%,,,
Florida Gateway College,Lake City,FL,81.0%,5.0%,10.0%,1.0%,1.0%,,,,
Lenoir Community College,Kinston,NC,54.0%,6.0%,37.0%,1.0%,,,1.0%,,
Liberty University,Lynchburg,VA,66.0%,5.0%,5.0%,2.0%,2.0%,15.0%,5.0%,,
Baptist College of Florida,Graceville,FL,80.0%,5.0%,7.0%,4.0%,,4.0%,,,
James Madison University,Harrisonburg,VA,76.0%,6.0%,4.0%,4.0%,4.0%,3.0%,2.0%,,
Montgomery College: Germantown Campus,Germantown,MD,,,,,,,100.0%,,
Whitman College,Walla Walla,WA,71.0%,7.0%,1.0%,7.0%,5.0%,2.0%,6.0%,,
Whittier College,Whittier,CA,31.0%,47.0%,4.0%,6.0%,7.0%,,3.0%,,
Whitworth University,Spokane,WA,72.0%,9.0%,2.0%,7.0%,5.0%,1.0%,3.0%,,
Willamette University,Salem,OR,62.0%,13.0%,3.0%,9.0%,9.0%,2.0%,1.0%,,
Woodbury University,Burbank,CA,32.0%,29.0%,3.0%,2.0%,9.0%,,24.0%,,
Corban University,Salem,OR,76.0%,2.0%,1.0%,7.0%,4.0%,7.0%,1.0%,,
Western Wyoming Community College,Rock Springs,WY,73.0%,14.0%,,4.0%,,,6.0%,,
University of Hawaii: West Oahu,Kapolei,HI,12.0%,2.0%,2.0%,15.0%,38.0%,,,,30.0%
Truckee Meadows Community College,Reno,NV,54.0%,19.0%,3.0%,14.0%,6.0%,2.0%,,1.0%,
California State University: Northridge,Northridge,CA,22.0%,46.0%,5.0%,3.0%,11.0%,4.0%,9.0%,,
California State University: Stanislaus,Turlock,CA,23.0%,51.0%,2.0%,4.0%,10.0%,5.0%,4.0%,,
Sonoma State University,Rohnert Park,CA,48.0%,29.0%,2.0%,7.0%,5.0%,7.0%,2.0%,,
Chemeketa Community College,Salem,OR,57.0%,22.0%,1.0%,4.0%,2.0%,12.0%,,2.0%,
Skyline College,San Bruno,CA,19.0%,18.0%,3.0%,19.0%,35.0%,2.0%,2.0%,,1.0%
Saddleback College,Mission Viejo,CA,53.0%,12.0%,3.0%,19.0%,7.0%,2.0%,4.0%,,
Scottsdale Community College,Scottsdale,AZ,53.0%,13.0%,4.0%,,3.0%,20.0%,1.0%,6.0%,
William Jessup University,Rocklin,CA,60.0%,19.0%,6.0%,2.0%,4.0%,4.0%,2.0%,1.0%,1.0%
Sierra Nevada College,Incline Village,NV,75.0%,4.0%,3.0%,,4.0%,8.0%,1.0%,3.0%,2.0%
Hawaii Pacific University,Honolulu,HI,20.0%,15.0%,5.0%,12.0%,14.0%,21.0%,11.0%,,2.0%
Idaho State University,Pocatello,ID,69.0%,12.0%,1.0%,3.0%,1.0%,2.0%,10.0%,1.0%,
Technical Career Institutes,New York,NY,5.0%,34.0%,42.0%,,3.0%,14.0%,,,
Rensselaer Polytechnic Institute,Troy,NY,57.0%,9.0%,3.0%,7.0%,11.0%,2.0%,11.0%,,
University of Texas at Brownsville,Brownsville,TX,5.0%,88.0%,,,,,5.0%,,
Florida National University,Hialeah,FL,2.0%,80.0%,2.0%,,,,15.0%,,
University of West Alabama,Livingston,AL,45.0%,2.0%,41.0%,2.0%,,4.0%,6.0%,,
Troy University,Troy,AL,54.0%,4.0%,31.0%,3.0%,,4.0%,4.0%,,
University of Wisconsin-Stout,Menomonie,WI,,,2.0%,4.0%,,,2.0%,3.0%,87.0%
Southern State Community College,Hillsboro,OH,93.0%,,2.0%,1.0%,,2.0%,,,
St. Francis Medical Center College of Nursing,Peoria,IL,89.0%,3.0%,3.0%,1.0%,2.0%,,,,
SUNY College of Environmental Science and Forestry,Syracuse,NY,80.0%,6.0%,2.0%,3.0%,4.0%,5.0%,2.0%,,
SUNY University at Albany,Albany,NY,47.0%,16.0%,17.0%,3.0%,9.0%,2.0%,6.0%,,
SUNY College at Buffalo,Buffalo,NY,47.0%,13.0%,31.0%,4.0%,3.0%,,1.0%,,
SUNY University at Binghamton,Binghamton,NY,57.0%,11.0%,5.0%,2.0%,14.0%,2.0%,9.0%,,
SUNY Maritime College,Throggs Neck,NY,71.0%,13.0%,4.0%,2.0%,5.0%,4.0%,2.0%,,
SUNY College at Brockport,Brockport,NY,69.0%,7.0%,11.0%,5.0%,2.0%,5.0%,1.0%,,
SUNY College at Cortland,Cortland,NY,74.0%,11.0%,6.0%,2.0%,1.0%,5.0%,,,
Academy College,Bloomington,MN,59.0%,4.0%,13.0%,2.0%,10.0%,10.0%,,,
Owensboro Community and Technical College,Owensboro,KY,90.0%,2.0%,4.0%,3.0%,,1.0%,,,
University of Arkansas: Community College at Hope,Hope,AR,51.0%,6.0%,42.0%,,,,,,
California Institute of Integral Studies,San Francisco,CA,53.0%,14.0%,14.0%,10.0%,1.0%,1.0%,1.0%,1.0%,3.0%
University of Mary,Bismarck,ND,83.0%,3.0%,2.0%,3.0%,,6.0%,1.0%,2.0%,
McLennan Community College,Waco,TX,52.0%,30.0%,12.0%,3.0%,1.0%,1.0%,,,
Mesabi Range College,Virginia,MN,78.0%,,7.0%,,1.0%,10.0%,,4.0%,
Minneapolis Community and Technical College,Minneapolis,MN,40.0%,10.0%,31.0%,8.0%,6.0%,2.0%,1.0%,2.0%,
Martin Luther College,New Ulm,MN,94.0%,1.0%,2.0%,,,,2.0%,,
Metropolitan Community College: Maple Woods,Kansas City,MO,74.0%,7.0%,7.0%,5.0%,3.0%,2.0%,,,
MidAmerica Nazarene University,Olathe,KS,63.0%,2.0%,14.0%,2.0%,1.0%,15.0%,,1.0%,
Missouri Baptist University,St. Louis,MO,56.0%,1.0%,6.0%,2.0%,,32.0%,,,
Metropolitan State University,St. Paul,MN,54.0%,5.0%,20.0%,4.0%,13.0%,,2.0%,,
Minot State University,Minot,ND,66.0%,6.0%,6.0%,4.0%,2.0%,2.0%,12.0%,2.0%,
Valley City State University,Valley City,ND,82.0%,6.0%,4.0%,3.0%,,,3.0%,1.0%,
University of North Texas,Denton,TX,48.0%,24.0%,14.0%,4.0%,6.0%,,3.0%,,
University of Louisiana at Monroe,Monroe,LA,62.0%,2.0%,25.0%,3.0%,2.0%,2.0%,3.0%,,
Truman State University,Kirksville,MO,79.0%,3.0%,4.0%,3.0%,3.0%,1.0%,7.0%,,
University of Maine,Orono,ME,84.0%,3.0%,2.0%,3.0%,2.0%,4.0%,2.0%,,
University of Massachusetts Amherst,Amherst,MA,66.0%,6.0%,4.0%,3.0%,10.0%,7.0%,5.0%,,
University of New Hampshire,Durham,NH,81.0%,3.0%,1.0%,2.0%,2.0%,6.0%,3.0%,,
University of Rhode Island,Kingston,RI,72.0%,10.0%,5.0%,2.0%,3.0%,6.0%,1.0%,,
University of Vermont,Burlington,VT,82.0%,4.0%,1.0%,3.0%,3.0%,2.0%,5.0%,,
University of Massachusetts Boston,Boston,MA,34.0%,14.0%,16.0%,3.0%,12.0%,8.0%,12.0%,,
Unity College,Unity,ME,86.0%,2.0%,,3.0%,2.0%,6.0%,,2.0%,
University of Maine at Augusta,Augusta,ME,86.0%,2.0%,1.0%,2.0%,,6.0%,,2.0%,
Vermont Technical College,Randolph Center,VT,86.0%,2.0%,2.0%,3.0%,2.0%,2.0%,2.0%,,
Burlington College,Burlington,VT,71.0%,5.0%,6.0%,,,14.0%,2.0%,,
Empire College,Santa Rosa,CA,51.0%,34.0%,4.0%,,4.0%,5.0%,,1.0%,
D-Q University,Davis,CA,3.0%,78.0%,,,,,,19.0%,
SUNY College at Fredonia,Fredonia,NY,77.0%,8.0%,7.0%,3.0%,2.0%,2.0%,2.0%,,
SUNY College at Geneseo,Geneseo,NY,75.0%,8.0%,3.0%,3.0%,6.0%,3.0%,2.0%,,
SUNY College at New Paltz,New Paltz,NY,63.0%,18.0%,6.0%,2.0%,6.0%,3.0%,2.0%,,
Fordham University,Bronx,NY,59.0%,14.0%,4.0%,3.0%,10.0%,2.0%,8.0%,,
Manor College,Jenkintown,PA,41.0%,10.0%,37.0%,3.0%,3.0%,4.0%,,,
Franklin & Marshall College,Lancaster,PA,57.0%,9.0%,6.0%,2.0%,5.0%,6.0%,15.0%,,
Fairleigh Dickinson University: Metropolitan Campus,Teaneck,NJ,34.0%,29.0%,8.0%,1.0%,6.0%,17.0%,4.0%,,
Dunwoody College of Technology,Minneapolis,MN,76.0%,3.0%,5.0%,4.0%,7.0%,4.0%,,,
Penn State Harrisburg,Middletown,PA,54.0%,7.0%,10.0%,3.0%,9.0%,2.0%,15.0%,,
Gannon University,Erie,PA,74.0%,3.0%,5.0%,2.0%,2.0%,5.0%,9.0%,,
Sage College of Albany,Albany,NY,57.0%,9.0%,16.0%,2.0%,2.0%,13.0%,,,
YTI Career Institute: York,York,PA,80.0%,9.0%,6.0%,3.0%,,,,,
Five Towns College,Dix Hills,NY,52.0%,12.0%,22.0%,6.0%,3.0%,4.0%,,,
George C. Wallace State Community College at Selma,Selma,AL,22.0%,,74.0%,,,1.0%,,,
Alexandria Technical and Community College,Alexandria,MN,85.0%,2.0%,2.0%,,,9.0%,,1.0%,
Northeastern State University,Tahlequah,OK,48.0%,6.0%,4.0%,19.0%,2.0%,,2.0%,18.0%,
Northern State University,Aberdeen,SD,84.0%,3.0%,2.0%,2.0%,1.0%,,4.0%,2.0%,
University of Georgia,Athens,GA,70.0%,6.0%,8.0%,4.0%,10.0%,,2.0%,,
University of Maryland: College Park,College Park,MD,51.0%,10.0%,13.0%,4.0%,16.0%,1.0%,4.0%,,
University of Miami,Coral Gables,FL,43.0%,23.0%,8.0%,3.0%,5.0%,4.0%,14.0%,,
University of North Carolina at Chapel Hill,Chapel Hill,NC,63.0%,8.0%,8.0%,4.0%,10.0%,4.0%,2.0%,,
Chattahoochee Technical College,Marietta,GA,53.0%,12.0%,29.0%,2.0%,3.0%,1.0%,,,
Francis Marion University,Florence,SC,48.0%,2.0%,44.0%,3.0%,1.0%,,1.0%,,
Martin Community College,Williamston,NC,28.0%,1.0%,24.0%,,,46.0%,,,
Mountain Empire Community College,Big Stone Gap,VA,98.0%,,1.0%,,,,,,
Miami Dade College,Miami,FL,6.0%,69.0%,14.0%,,,3.0%,6.0%,,
Mayland Community College,Spruce Pine,NC,87.0%,4.0%,,,,7.0%,,,
Montgomery College School of Art and Design,Silver Spring,MD,55.0%,4.0%,27.0%,,13.0%,,1.0%,,
University of North Florida,Jacksonville,FL,67.0%,11.0%,10.0%,5.0%,4.0%,,1.0%,,
Nash Community College,Rocky Mount,NC,,,81.0%,,,12.0%,3.0%,4.0%,
Oglethorpe University,Atlanta,GA,33.0%,10.0%,18.0%,3.0%,3.0%,26.0%,7.0%,,
Dawson Community College,Glendive,MT,82.0%,4.0%,3.0%,,1.0%,1.0%,6.0%,3.0%,
Deep Springs College,Dyer,NV,50.0%,4.0%,4.0%,,21.0%,,21.0%,,
Dixie State University,St George,UT,75.0%,12.0%,3.0%,3.0%,,1.0%,2.0%,1.0%,2.0%
Dominican University of California,San Rafael,CA,34.0%,20.0%,5.0%,7.0%,23.0%,7.0%,1.0%,,1.0%
De Anza College,Cupertino,CA,17.0%,30.0%,4.0%,,46.0%,2.0%,,,
Pikes Peak Community College,Colorado Springs,CO,60.0%,16.0%,7.0%,6.0%,3.0%,5.0%,,,
Evergreen State College,Olympia,WA,66.0%,11.0%,5.0%,8.0%,3.0%,4.0%,,2.0%,
Great Basin College,Elko,NV,68.0%,17.0%,1.0%,2.0%,2.0%,5.0%,,4.0%,
Foothill College,Los Altos Hills,CA,30.0%,25.0%,5.0%,,29.0%,4.0%,,,7.0%
Centralia College,Centralia,WA,77.0%,1.0%,1.0%,8.0%,1.0%,6.0%,2.0%,2.0%,
Chapman University,Orange,CA,57.0%,15.0%,2.0%,7.0%,11.0%,4.0%,4.0%,,
California State University: Chico,Chico,CA,45.0%,29.0%,2.0%,5.0%,6.0%,8.0%,4.0%,,
California Institute of the Arts,Valencia,CA,40.0%,14.0%,6.0%,4.0%,11.0%,8.0%,15.0%,,
Citrus College,Glendora,CA,18.0%,62.0%,4.0%,3.0%,12.0%,,,,
Claremont McKenna College,Claremont,CA,42.0%,14.0%,5.0%,6.0%,10.0%,6.0%,17.0%,,
Clark College,Vancouver,WA,66.0%,10.0%,2.0%,9.0%,4.0%,8.0%,,,
West Hills College: Coalinga,Coalinga,CA,20.0%,61.0%,7.0%,2.0%,6.0%,3.0%,,,
Cogswell Polytechnical College,San Jose,CA,36.0%,21.0%,5.0%,9.0%,20.0%,7.0%,,,1.0%
Jefferson Community College,Watertown,NY,73.0%,11.0%,7.0%,3.0%,2.0%,3.0%,,,
Keuka College,Keuka Park,NY,75.0%,5.0%,9.0%,2.0%,,6.0%,2.0%,,
Keystone College,La Plume,PA,76.0%,7.0%,6.0%,1.0%,,9.0%,,,
King's College,Wilkes-Barre,PA,74.0%,7.0%,3.0%,2.0%,2.0%,5.0%,6.0%,,
City University of New York: Kingsborough Community College,Brooklyn,NY,24.0%,19.0%,28.0%,,11.0%,14.0%,2.0%,,
Lafayette College,Easton,PA,66.0%,7.0%,5.0%,2.0%,4.0%,6.0%,10.0%,,
La Salle University,Philadelphia,PA,51.0%,14.0%,19.0%,3.0%,5.0%,6.0%,2.0%,,
Lebanon Valley College,Annville,PA,83.0%,5.0%,3.0%,3.0%,2.0%,3.0%,,,
Le Moyne College,Syracuse,NY,79.0%,5.0%,6.0%,2.0%,2.0%,4.0%,,,
Lincoln University,Lincoln University,PA,1.0%,2.0%,84.0%,1.0%,,7.0%,4.0%,,
Manhattan College,Riverdale,NY,57.0%,21.0%,5.0%,2.0%,5.0%,7.0%,3.0%,,
Caldwell University,Caldwell,NJ,38.0%,17.0%,14.0%,2.0%,3.0%,18.0%,8.0%,,
Canisius College,Buffalo,NY,73.0%,7.0%,8.0%,2.0%,2.0%,4.0%,4.0%,,
Carnegie Mellon University,Pittsburgh,PA,30.0%,8.0%,4.0%,4.0%,27.0%,5.0%,22.0%,,
Metropolitan College of New York,New York,NY,4.0%,24.0%,58.0%,2.0%,3.0%,6.0%,3.0%,,
DeVry University: Addison,Addison,IL,57.0%,15.0%,11.0%,,14.0%,,3.0%,,
American Academy McAllister Institute of Funeral Service,New York,NY,53.0%,13.0%,26.0%,,2.0%,5.0%,,,
Georgia Piedmont Technical College,Clarkston,GA,13.0%,3.0%,79.0%,2.0%,2.0%,,,,
Ohlone College,Fremont,CA,18.0%,21.0%,4.0%,6.0%,43.0%,3.0%,4.0%,,
Ohio Business College: Sandusky,Sandusky,OH,71.0%,5.0%,22.0%,,,2.0%,,,
Georgia Southern University,Statesboro,GA,62.0%,5.0%,26.0%,2.0%,2.0%,,2.0%,,
Rider University,Lawrenceville,NJ,61.0%,14.0%,12.0%,3.0%,5.0%,2.0%,3.0%,,
Northwest Florida State College,Niceville,FL,70.0%,9.0%,9.0%,5.0%,2.0%,3.0%,,,
Delaware Technical Community College: Terry Campus,Dover,DE,56.0%,6.0%,29.0%,3.0%,2.0%,2.0%,,,
Delaware Technical Community College: Stanton/Wilmington Campus,Newark,DE,49.0%,11.0%,28.0%,3.0%,4.0%,2.0%,2.0%,,
Florida International University,Miami,FL,9.0%,67.0%,12.0%,3.0%,3.0%,,6.0%,,
Fayetteville Technical Community College,Fayetteville,NC,38.0%,11.0%,37.0%,4.0%,2.0%,4.0%,,2.0%,
Fairmont State University,Fairmont,WV,86.0%,2.0%,5.0%,3.0%,,,2.0%,,
Fayetteville State University,Fayetteville,NC,19.0%,7.0%,64.0%,,2.0%,5.0%,,3.0%,
Ferrum College,Ferrum,VA,52.0%,5.0%,32.0%,5.0%,,4.0%,,,
St. Andrews University,Laurinburg,NC,42.0%,2.0%,17.0%,2.0%,,22.0%,13.0%,,
Florida Agricultural and Mechanical University,Tallahassee,FL,3.0%,2.0%,90.0%,3.0%,,,,,
Florida College,Temple Terrace,FL,77.0%,6.0%,6.0%,5.0%,,,3.0%,2.0%,
Gardner-Webb University,Boiling Springs,NC,74.0%,2.0%,18.0%,,,2.0%,2.0%,,
Georgetown University,Washington,DC,56.0%,9.0%,6.0%,5.0%,10.0%,2.0%,12.0%,,
George Washington University,Washington,DC,56.0%,8.0%,6.0%,4.0%,10.0%,5.0%,10.0%,,
Georgia Institute of Technology,Atlanta,GA,50.0%,7.0%,7.0%,4.0%,20.0%,3.0%,10.0%,,
Georgia Military College,Milledgeville,GA,42.0%,7.0%,44.0%,,2.0%,3.0%,,2.0%,
Georgia Southwestern State University,Americus,GA,63.0%,4.0%,27.0%,2.0%,1.0%,,2.0%,,
Georgia State University,Atlanta,GA,25.0%,10.0%,42.0%,6.0%,13.0%,1.0%,2.0%,,
Georgia College and State University,Milledgeville,GA,84.0%,5.0%,5.0%,3.0%,2.0%,,,,
Glenville State College,Glenville,WV,71.0%,2.0%,17.0%,1.0%,,8.0%,,,
Bowdoin College,Brunswick,ME,64.0%,11.0%,6.0%,7.0%,6.0%,1.0%,5.0%,,
Brandeis University,Waltham,MA,46.0%,8.0%,5.0%,3.0%,13.0%,4.0%,21.0%,,
Brown University,Providence,RI,43.0%,12.0%,7.0%,6.0%,14.0%,6.0%,11.0%,,
Bryant University,Smithfield,RI,75.0%,7.0%,4.0%,1.0%,4.0%,2.0%,7.0%,,
Bentley University,Waltham,MA,62.0%,8.0%,3.0%,2.0%,8.0%,4.0%,14.0%,,
